Facility (Host_description), Count
c402-032.stampede2.tacc.utexas.edu,1
c402-033.stampede2.tacc.utexas.edu,3
c402-034.stampede2.tacc.utexas.edu,1
c402-041.stampede2.tacc.utexas.edu,1
c402-042.stampede2.tacc.utexas.edu,1
c402-043.stampede2.tacc.utexas.edu,5
c402-044.stampede2.tacc.utexas.edu,1
c402-051.stampede2.tacc.utexas.edu,1
c402-052.stampede2.tacc.utexas.edu,1
c402-053.stampede2.tacc.utexas.edu,2
c402-054.stampede2.tacc.utexas.edu,5
c402-062.stampede2.tacc.utexas.edu,1
c402-063.stampede2.tacc.utexas.edu,1
c402-071.stampede2.tacc.utexas.edu,1
c402-073.stampede2.tacc.utexas.edu,2
c402-074.stampede2.tacc.utexas.edu,1
c402-081.stampede2.tacc.utexas.edu,2
c402-082.stampede2.tacc.utexas.edu,2
c402-083.stampede2.tacc.utexas.edu,4
c402-084.stampede2.tacc.utexas.edu,1
c402-091.stampede2.tacc.utexas.edu,3
c402-092.stampede2.tacc.utexas.edu,1
c402-094.stampede2.tacc.utexas.edu,1
c402-101.stampede2.tacc.utexas.edu,2
c402-102.stampede2.tacc.utexas.edu,1
c402-103.stampede2.tacc.utexas.edu,1
c402-104.stampede2.tacc.utexas.edu,4
c402-111.stampede2.tacc.utexas.edu,1
c402-112.stampede2.tacc.utexas.edu,1
c402-113.stampede2.tacc.utexas.edu,1
c402-114.stampede2.tacc.utexas.edu,2
c402-121.stampede2.tacc.utexas.edu,4
c402-122.stampede2.tacc.utexas.edu,1
c402-124.stampede2.tacc.utexas.edu,3
c402-132.stampede2.tacc.utexas.edu,2
c402-133.stampede2.tacc.utexas.edu,1
c402-134.stampede2.tacc.utexas.edu,1
c403-001.stampede2.tacc.utexas.edu,1
c403-002.stampede2.tacc.utexas.edu,2
c403-004.stampede2.tacc.utexas.edu,2
c403-012.stampede2.tacc.utexas.edu,1
c403-013.stampede2.tacc.utexas.edu,1
c403-014.stampede2.tacc.utexas.edu,2
c403-021.stampede2.tacc.utexas.edu,2
c403-022.stampede2.tacc.utexas.edu,2
c403-023.stampede2.tacc.utexas.edu,2
c403-024.stampede2.tacc.utexas.edu,1
c403-031.stampede2.tacc.utexas.edu,1
c403-032.stampede2.tacc.utexas.edu,2
c403-043.stampede2.tacc.utexas.edu,2
c403-044.stampede2.tacc.utexas.edu,4
c403-051.stampede2.tacc.utexas.edu,2
c403-052.stampede2.tacc.utexas.edu,2
c403-053.stampede2.tacc.utexas.edu,1
c403-054.stampede2.tacc.utexas.edu,3
c403-061.stampede2.tacc.utexas.edu,1
c403-062.stampede2.tacc.utexas.edu,1
c403-063.stampede2.tacc.utexas.edu,3
c403-064.stampede2.tacc.utexas.edu,2
c403-071.stampede2.tacc.utexas.edu,3
c403-072.stampede2.tacc.utexas.edu,1
c403-073.stampede2.tacc.utexas.edu,1
c403-074.stampede2.tacc.utexas.edu,2
c403-083.stampede2.tacc.utexas.edu,2
c403-084.stampede2.tacc.utexas.edu,2
c403-091.stampede2.tacc.utexas.edu,1
c403-092.stampede2.tacc.utexas.edu,1
c403-094.stampede2.tacc.utexas.edu,2
c403-101.stampede2.tacc.utexas.edu,1
c403-103.stampede2.tacc.utexas.edu,1
c403-112.stampede2.tacc.utexas.edu,3
c403-113.stampede2.tacc.utexas.edu,1
c403-114.stampede2.tacc.utexas.edu,2
c403-121.stampede2.tacc.utexas.edu,2
c403-122.stampede2.tacc.utexas.edu,2
